timestep, speaker, text
0:00:00, Bank Agent, "Good afternoon, Mr. Wilson! I reviewed your portfolio. You’ve built a solid foundation—congrats!"
0:00:07, Mr. Wilson, "Thanks. That’s good to hear. I’ve been putting money aside for years… just hoping it’s enough."
0:00:12, Bank Agent, "Based on our projections, if you retire at 65, your current savings and investments should give you a very comfortable lifestyle."
0:00:20, Mr. Wilson, "That’s a relief. Honestly, I’ve been worried I’d outlive my savings."
0:00:26, Bank Agent, "I understand. Though, if healthcare costs rise or the market dips, we might need to make small adjustments."
0:00:32, Mr. Wilson, "Adjustments? I thought I was set. Now I’m not so sure…"
0:00:37, Bank Agent, "It’s normal to feel that way. But we can create a flexible plan—include a cushion for those surprises, maybe stagger withdrawals, or adjust your risk exposure slightly."
0:00:49, Mr. Wilson, "Okay… that makes sense. I just want to enjoy retirement without constantly worrying."
0:00:56, Bank Agent, "And you will. With the right strategy, your retirement years can be both secure and fulfilling."
0:01:02, Mr. Wilson, "Alright. Let’s do it."
